"names","lat","lon"
"Ochojec Wapienna",50.2210272,18.9896572
"Ochojec Sadowa",50.2161415,18.9899278
"Ochojec Ziołowa",50.2131734,18.9887092
"Piotrowice Skrzyżowanie",50.2092333,18.9740975
"Piotrowice Dworzec PKP",50.2158699,18.9717151
"Giszowiec Karolinki",50.2267764,19.0563943
"Siemianowice Kolonia Wojewódzka",50.2928756,19.0484704
"Zawodzie Waleriana",50.2596028,19.0473396
"Sosnowiec Rondo Ludwik",50.2732009,19.1453419
"Sosnowiec Egzotarium",50.2834232,19.1057637
"Sosnowiec Aleja Mireckiego",50.278943,19.1158898
"Dańdówka Cmentarz",50.2690212,19.1688907
"Chorzów Batory",50.2784458,18.9446898
"Świętochłowice",50.289129,18.9181552
"Chorzów Racławicka",50.282022,18.9493395
"Osiedle Kukuczki Podhalańska",50.2718764,19.0489339
"Muchowiec Park",50.2347552,19.0261771
"Katowice Sokolska",50.2642022,19.0181862
"Dąbrówka Mała Centrum Handlowe",50.2679102,19.0570859
"Katowice Ligota",50.2260011,18.977841
"Katowice Brynów",50.2442472,18.9833474
"Katowice",50.2573798,19.017078
"Środula K-D",50.3000796,19.1607552
"Chorzów Hala Sportowa(Chorzów)",50.2855,18.9410813
"Giszowiec Kościół",50.2241659,19.063466
"Giszowiec Kolista Pętla",50.2286518,19.059942
"Zawodzie Uniwersytet Ekonomiczny",50.2583845,19.0465483
"Katowice Damrota",50.2578982,19.030812
"Katowice Rynek (Teatr Śl.)",50.2592616,19.0232546
"Zawodzie Paderewskiego",50.2580094,19.0400378
"Katowice Rondo",50.2643607,19.023589
"Katowice Zawodzie",50.2574919,19.0574884
"Katowice Piotrowice",50.2134589,18.9701255
"Katowice Podlesie",50.1829289,18.9602958
"Zawodzie Ośrodek Sportowy",50.2593059,19.0559892
"Zawodzie Pętla",50.2596991,19.0643276
"Giszowiec Mysłowicka",50.2265593,19.068644
"Giszowiec Mysłowicka",50.2260548,19.069883
"Giszowiec Szyb Roździeński",50.2221156,19.0757153
"Giszowiec Przyjemna",50.2195449,19.0715464
"Giszowiec Radosna",50.2233377,19.0669877
"Zawodzie Ośrodek Sportowy",50.2593175,19.0551463
"Zawodzie Łączna",50.2595385,19.0609755
"Nikiszowiec Szyb Wilson",50.2499648,19.08192
"Kolonia Wysockiego Kulika",50.2361655,19.0734412
"Kolonia Wysockiego Woźniaków",50.2341602,19.0699974
"Giszowiec Przyjazna",50.2220111,19.0702916
"Giszowiec Przyjazna",50.2215808,19.0703915
"Sosnowiec Główny",50.2788915,19.1264252
"Janów Leśnego Potoku",50.2423478,19.0938688
"Janów Zamkowa",50.2422193,19.0889435
"Nikiszowiec Kościół",50.243591,19.0818343
"Koszutka Słoneczna Pętla",50.2738148,19.0244164
"Wełnowiec Kościół",50.2783224,19.0208553
"Wełnowiec Kościół",50.278565,19.0208158
"Milowice Most",50.2915861,19.0730827
"Giszowiec Kopalnia Staszic",50.2245318,19.0489915
"Zagórze Mec",50.2970662,19.184535
"Janów Lwowska Szkoła",50.2478522,19.0895186
"Wełnowiec Plac Alfreda",50.29288,19.0144314
"Wełnowiec Plac Alfreda",50.2926027,19.014421
"Brzezinka Topolowa",50.2078641,19.1478416
"Brzezinka Reja",50.2064666,19.1579927
"Dąb Kościół",50.2708944,18.9972183
"Dąb Silesia City Center",50.2695073,19.0029349
"Dąb Huta Baildon",50.267964,19.0096965
"Katowice Stęślickiego",50.2669106,19.014192
"Katowice Sokolska",50.265859,19.0185049
"Katowice Plac Miarki",50.2544077,19.0177279
"Katowice Jordana",50.2517621,19.015102
"Załęże Dwór",50.2675889,18.990355
"Brynów Drozdów",50.2348078,19.0001199
"Brynów Słowików",50.2314666,18.9973252
"Brynów Pętla",50.2270542,18.9947379
"Chorzów Polna",50.3133125,18.9482312
"Piaśniki Skrzyżowanie",50.3043339,18.9190841
"Świętochłowice Kościół",50.2909861,18.9170119
"Świętochłowice Muzeum Powstań Śląskich",50.2884756,18.9235086
"Chorzów Miasto",50.2985496,18.9498988
"Zawodzie Waleriana",50.2597664,19.0474842
"Murcki Rynek",50.1979536,19.0433534
"Zawodzie Bohaterów Monte Cassino",50.259902,19.0532187
"Murcki Bielska",50.1982919,19.045275
"Murcki Bielska",50.1977364,19.045499
"Murcki Osiedle",50.2037677,19.0430359
"Murcki Dolina Murckowska",50.1999856,19.0522003
"Murcki Szyb Stanisław",50.2064917,19.0419426
"Dąbrowa Górnicza Urząd Pracy",50.3235594,19.1672619
"Osiedle Mydlice Szpital",50.3190669,19.1781325
"Koszelew",50.3222203,19.1566674
"Będzin Rondo",50.3247713,19.1242038
"Dąbrowa Górnicza Centrum",50.3255851,19.1856438
"Dąbrowa Górnicza Centrum",50.3253282,19.1873164
"Dąbrowa Górnicza Huta Bankowa",50.3250559,19.174486
"Dąbrowa Górnicza Sienkiewicza",50.3257088,19.1819811
"Będzin Słowiańska",50.3082539,19.1374126
"Czeladź Wodociągi n/ż",50.3202974,19.089813
"Milowice Centrum Handlowe",50.2851134,19.1013046
"Janów Zamkowa Skwer",50.2439367,19.0852477
"Muchowiec 73 Pułku Piechoty n/ż",50.2270433,19.0276742
"Ochojec Szpital",50.2120241,18.9993349
"Piotrowice Osiedle",50.21044,18.9825822
"Piotrowice Fabryka Maszyn",50.2128107,18.973134
"Ligota Poleska",50.2230235,18.9696542
"Ligota Szpital",50.2247483,18.9577859
"Ligota Akademiki",50.218075,18.9585562
"Janów Lwowska Szkoła",50.247866,19.0898392
"Giszowiec Karolinki",50.2270922,19.0555682
"Ligota Bronisławy",50.22103,18.9596442
"Katowice Mariacka",50.257109,19.0281393
"Giszowiec Przyjemna",50.2193781,19.0727939
"Osiedle Paderewskiego Trzy Stawy",50.2422433,19.0359564
"Osiedle Paderewskiego Trzy Stawy",50.243434,19.0361425
"Giszowiec Osiedle",50.2240246,19.0583341
"Giszowiec Osiedle",50.2240241,19.0585123
"Burowiec",50.2682877,19.0792382
"Zawodzie Pętla",50.2598878,19.0632925
"Siemianowice Plac Skargi",50.2985002,19.0272701
"Park Śląski Wejście Główne",50.280826,18.9783961
"Chorzów Batory Zajezdnia",50.2744223,18.956519
"Chorzów Floriańska",50.3031563,18.9457571
"Chorzów Rynek",50.2980494,18.9546371
"Chorzów Batory Zajezdnia",50.2747787,18.9551386
"Chorzów Metalowców",50.3031734,18.9518987
"Chorzów Wodociągi",50.3027354,18.934349
"Chorzów Racławicka",50.2810121,18.9467369
"Chorzów Stadion Śląski Pętla Zach.",50.2870858,18.9694808
"Chorzów Bałtycka",50.2871164,18.9393751
"Chorzów Chopina",50.2941473,18.9573942
"Chorzów Sobieskiego",50.2946912,18.9508552
"Chorzów Dworcowa",50.2979544,18.9517903
"Załęże Wiśniowa",50.2693077,18.9801792
"Świętochłowice Mijanka",50.2862435,18.9281454
"Lipiny Kościół",50.307341,18.9040212
"Załęże Dom Kultury",50.2701368,18.9750621
"Chorzów Żeromskiego",50.2943645,18.948925
"Park Śląski Ogród Zoologiczny",50.2764299,18.9856029
"Chorzów Cmentarna",50.2887592,18.9473218
"Park Śląski Wesołe Miasteczko",50.2724749,18.9914964
"Środula Prusa",50.2954518,19.1598818
"Środula Prusa",50.295411,19.1602504
"Węzłowiec Pętla",50.304996,18.9969101
"Sielec Osiedle Zamkowa",50.2862532,19.1488735
"Konstantynów Fabryczna",50.2914658,19.1475652
"Konstantynów Okrzei",50.2952707,19.1450509
"Dąbrówka Mała Pawilon Agata",50.2679222,19.0553162
"Środula K-D",50.3005962,19.1573695
"Łagiewniki Cmentarz",50.325029,18.9439783
"Łagiewniki Media-Markt",50.3213201,18.9452888
"Łagiewniki Zajezdnia",50.3179319,18.9464667
"Chorzów AKS",50.2898182,18.9642631
"Chorzów Stadion Śląski",50.2875166,18.9678662
"Katowice Stadion AWF",50.2484883,19.012277
"Katowice Kościuszki Szpital",50.2462193,19.0102233
"Brynów Zgrzebnioka",50.2404101,19.0050285
"Koszutka Misjonarzy Oblatów",50.2699072,19.0244451
"Sosnowiec Dworzec PKP",50.2784533,19.1271978
"Sosnowiec Dworzec PKP",50.2780115,19.1268689
"Lipiny Targowisko",50.3068579,18.8982812
"Chropaczów Lampego",50.3160856,18.9157419
"Lipiny Targowisko",50.306779,18.8982156
"Lipiny Mijanka",50.3079644,18.900429
"Lipiny Bukowego",50.3088552,18.9039981
"Chropaczów Szkoła",50.3112298,18.9128544
"Chropaczów Ratusz",50.3140549,18.9132871
"Milowice Centrum Handlowe",50.2866756,19.1031394
"Chorzów Kościół św. Jadwigi",50.2917641,18.945887
"Konstantynów Centrum Handlowe",50.2884927,19.1489167
"Sielec Osiedle Zamkowa",50.2866801,19.1490027
"Sielec Narutowicza",50.2778511,19.1477856
"Sielec Narutowicza",50.2785445,19.1478639
"Sielec Park",50.2837278,19.1385323
"Sosnowiec Dworzec PKP",50.2782369,19.1270017
"Sielec Osiedle Zamkowa",50.2870956,19.1481397
"Sosnowiec Rondo Ludwik",50.2733424,19.1455198
"Sosnowiec Sobieskiego",50.2768916,19.1192629
"Sosnowiec Ostrogórska",50.2733594,19.1357536
"Sosnowiec Ostrogórska",50.2741597,19.1344074
"Sosnowiec Dęblińska",50.275751,19.1236798
"Sosnowiec Wspólna",50.2744746,19.1274782
"Środula Osiedle",50.2912326,19.160856
"Nikiszowiec Kościół",50.243665,19.08222
"Katowice Dąbrówki",50.2618811,19.0088048
"Dańdówka Dworzec PKP",50.2658877,19.1759342
"Dańdówka Skrzyżowanie",50.2689556,19.1759058
"Niwka Fabryka",50.2429412,19.1593565
"Dańdówka Klonowa",50.2725805,19.1779071
"Klimontów Makuszyńskiego",50.2737993,19.1829705
"Czeladź Kombatantów",50.3202859,19.0723056
"Koszutka Słoneczna",50.2728863,19.0247472
"Katowice Graniczna",50.257578,19.0365498
"Zawodzie Pętla",50.2597681,19.0633843
"Szopienice Roździeńska",50.2621913,19.0716046
"Szopienice Wodociągi",50.2649712,19.0725251
"Koszutka Jesionowa",50.2740026,19.024204
"Wełnowiec Gnieźnieńska",50.2832858,19.0190939
"Siemianowice Mijanka",50.2949934,19.0246304
"Szopienice Poczta",50.2645623,19.0907985
"Katowice Szopienice Południowe",50.258939,19.0924453
"Szopienice Dwór",50.2620142,19.1016578
"Szopienice Pętla",50.2605071,19.1095848
"Szopienice Pętla",50.2604198,19.1093928
"Załęże Szkoła",50.2726568,18.9647599
"Świętochłowice Polna",50.2957312,18.9167305
"Piaśniki Osiedle Skałka",50.2987554,18.9178481
"Katowice Plac Wolności",50.25977,19.0147617
"Zgoda Droga Kochłowicka",50.2777126,18.910483
"Zgoda Skrzyżowanie",50.2831365,18.9138544
"Zgoda Komenda Policji",50.2835586,18.9197707
"Piaśniki Szpital",50.3059189,18.9139417
"Piaśniki Skrzyżowanie",50.3050581,18.9189089
"Chorzów Pokoju",50.3043441,18.9230033
"Chorzów Szarlociniec",50.303456,18.9280977
"Szopienice Chemiczna",50.2593124,19.1118898
"Mysłowice Komenda Policji",50.2442403,19.1376756
"Mysłowice Świerczyny",50.2510361,19.1294664
"Mysłowice Szpital",50.2475759,19.1334036
"Mysłowice Dworzec PKP",50.2384351,19.1424788
"Mysłowice Poczta",50.2397093,19.1417772
"Mysłowice Urząd Miasta",50.2412308,19.1401251
"Mysłowice Obrzeżna Północna",50.2524792,19.1256626
"Kosztowy Rynek",50.1846453,19.1604358
"Pogoń Rybna",50.2955991,19.1338045
"Pogoń Akademiki",50.2984194,19.1344642
"Katowice Załęże",50.2639129,18.9896249
"Sosnowiec Estakada",50.281416,19.1355182
"Pogoń Mariacka",50.287629,19.1336927
"Pogoń Kościół",50.290783,19.1333227
"Kamionka Szkoła",50.1901162,18.9220033
"Kamionka Szkoła",50.1891532,18.9204998
"Dąbrowa Górnicza Urząd Pracy",50.3238203,19.1685396
"Dąbrowa Górnicza Szkoła Górnicza",50.3194838,19.1851678
"Osiedle Mydlice Dąbskiego I",50.3176517,19.1645443
"Nikiszowiec Szpital",50.2460087,19.0800144
"Wilhelmina Skrzyżowanie",50.2543407,19.0926385
"Wilhelmina Skrzyżowanie",50.2542858,19.0929451
"Wilhelmina Krakowska n/ż",50.2566463,19.0808591
"Józefów Piekarnia n/ż",50.3159758,19.1776865
"Osiedle Mydlice",50.3186917,19.1690016
"Osiedle Mydlice Pętla",50.3164464,19.1632136
"Osiedle Mydlice Dąbskiego II",50.3190043,19.1669122
"Osiedle Mydlice Dąbskiego II",50.31896,19.1674426
"Osiedle Mydlice Szpital",50.3195439,19.1750986
"Józefów Jaworowa",50.3142799,19.180405
"Osiedle Mydlice Szkoła",50.3149679,19.1678965
"Osiedle Mydlice Dąbskiego I",50.3177168,19.1640036
"Milowice Podjazdowa",50.2899459,19.0933671
"Milowice Hala Sportowa",50.2889957,19.0822066
"Będzin Paryska",50.3248134,19.1411084
"Czeladź Targowisko",50.3195783,19.0769159
"Czeladź Kombatantów",50.3205021,19.0723778
"Środula Północna",50.3003668,19.1567256
"Środula Auchan",50.3017284,19.15962
"Chorzów Dom Działkowca",50.2861793,18.9496823
"Załęże Pośpiecha",50.2637514,19.0036039
"Załęże Janasa",50.2652363,18.9974998
"Świętochłowice Gazownia",50.2846705,18.9338479
"Bytków Osiedle Chemik",50.2974773,19.0038932
"Bytków Osiedle Chemik",50.2973027,19.0039459
"Klimontów Kolonia Pstrowskiego",50.2736591,19.1868727
"Katowice AWF",50.251111,19.0043562
"Katowice Plac Miarki",50.2548444,19.0178461
"Bytkowska Centrum Targowe",50.2916091,19.0054598
"Bytkowska Centrum Targowe",50.2905967,19.005669
"Kolonia Agnieszki Promienna",50.2874275,19.0075345
"Józefowiec Szpital",50.2846055,19.0132876
"Wilhelmina Skrzyżowanie",50.2531185,19.0909804
"Katowice Piotra Skargi",50.2618293,19.0186296
"Niwka Pawiak",50.2507625,19.1649488
"Sosnowiec Urząd Miasta",50.2775818,19.1344841
"Niwka Pawiak",50.2503509,19.1629356
"Niwka Pawiak",50.2502636,19.1636378
"Będzin 11 Listopada",50.3205539,19.1293725
"Będzin Rondo",50.3242609,19.1235751
"Będzin Dworzec PKP",50.3183643,19.1331332
"Będzin Robotnicza n/ż",50.3115281,19.1462431
"Będzin Stadion",50.3185933,19.1253134
"Środula Dolna n/ż",50.3078065,19.1589587
"Będzin Brata Alberta",50.3188689,19.1377992
"Będzin Zagórska",50.3160037,19.1371068
"Będzin Stadion",50.3185256,19.1252388
"Ligota Medyków",50.227224,18.960293
"Łagiewniki Targowisko",50.3203075,18.9258142
"Katowice Wita Stwosza",50.2471115,19.0173381
"Kolonia Zuzanna",50.2352418,19.0545806
"Kolonia Zuzanna",50.2352167,19.0543516
"Będzin Aleja Kołłątaja",50.3252732,19.1378541
"Dąbrówka Mała Centrum Handlowe",50.2698676,19.0597531
"Katowice Strefa Kultury NOSPR",50.2635448,19.0277676
"Będzin Aleja Kołłątaja",50.3255266,19.1364382
"Koszelew",50.3223518,19.1566865
"Koszelew",50.3220376,19.1566057
"Piaski Centrum Handlowe",50.3217732,19.1025384
"Katowice Aleja Korfantego",50.2612518,19.0223365
"Osiedle Mydlice Mireckiego",50.3208305,19.1667809
"Piaski Centrum Handlowe",50.3223563,19.1036384
"Dąbrówka Mała Skrzyżowanie",50.2736133,19.0700005
"Katowice Strefa Kultury NOSPR",50.2632605,19.0282383
"Zagórze Osiedle",50.2909648,19.1812805
"Zagórze Mec",50.2959461,19.1838602
"Środula Osiedle",50.291125,19.1609068
"Środula Osiedle",50.2913045,19.1607844
"Zagórze Osiedle",50.2905432,19.1793964
"Brynów W. Pola",50.2442261,18.9967274
"Katowice Strefa Kultury",50.2623991,19.036997
"Katowice Strefa Kultury",50.2619556,19.0369951
"Sielec Kąpielisko",50.286894,19.1433551
"Sosnowiec Egzotarium",50.2835769,19.1054783
"Sosnowiec Estakada",50.2808865,19.1334292
"Sosnowiec Aleja Zwycięstwa",50.2797707,19.1305035
"Sosnowiec Egzotarium",50.2829024,19.1066275
"Bogucice Skrzyżowanie",50.2632553,19.0451403
"Kosztowy Rynek",50.1842901,19.1605307
"Kosztowy Rynek",50.1851244,19.1607803
"Chorzów Plac Powstańców Śl.",50.3016961,18.9520052
"Chorzów Nowa",50.3086963,18.9496471
"Milowice Pętla",50.2892704,19.0779944
"Milowice Hala Sportowa",50.289421,19.0810538
"Milowice Hala Sportowa",50.2897989,19.0812869
"Dąbrówka Mała Zespół Szkół",50.2733427,19.062272
"Dąbrówka Mała Zespół Szkół",50.2734069,19.0624223
"Załęże Bocheńskiego",50.2620633,18.9866304
"Załęże Dom Kultury",50.2704418,18.9745444
"Osiedle Tysiąclecia Zawiszy Czarnego",50.276713,18.9750703
"Osiedle Tysiąclecia Mieszka I",50.2742199,18.9745825
"Osiedle Tysiąclecia Mieszka I",50.2742886,18.9743946
"Katowice Osiedle Kopalni Wujek",50.2518222,18.9896269
"Świętochłowice Bytomska",50.2922592,18.9159998
"Zgoda Skrzyżowanie",50.2828428,18.913239
"Zgoda Skrzyżowanie",50.2834362,18.9125959
"Zgoda ZUT",50.2823989,18.9065654
"Zgoda ZUT",50.2825021,18.9067786
"Zgoda Zespół Szkół",50.2795149,18.9026114
"Kochłowice Kościół",50.2540736,18.9008529
"Kochłowice Osiedle",50.2547571,18.9124945
"Kochłowice Rynek",50.2528638,18.9013955
"Bykowina Tesco",50.2637129,18.9000521
"Ligota Panewnicka",50.2254236,18.9680699
"Kokociniec Ogrodowa",50.2343868,18.9550897
"Kochłowice Kopalnia Nowy Wirek",50.2710584,18.9073868
"Kochłowice Kopalnia Nowy Wirek",50.2721182,18.9090919
"Kochłowice Krzyż",50.2603921,18.9015537
"Kochłowice Krzyż",50.2608927,18.9015217
"Kochłowice Osiedle",50.2544234,18.9112971
"Kochłowice Rynek",50.2527494,18.9006916
"Kochłowice Tunkla",50.2646324,18.9039072
"Kochłowice Tunkla",50.2654994,18.9039103
"Zgoda Droga Kochłowicka",50.2758844,18.9096362
"Zgoda Droga Kochłowicka",50.2762199,18.9096872
"Brynów W. Pola",50.2449995,18.996524
"Katowice AWF",50.2513217,19.0046473
"Katowice Sokolska",50.2640396,19.0179928
"Brynów Kościuszki",50.2273323,18.9931782
"Brynów Pętla",50.2262167,18.9948877
"Kochłowice Cegielnia",50.2473362,18.9037324
"Kokociniec Ogrodowa",50.2348676,18.9556531
"Ligota Medyków",50.2279105,18.9599423
"Brynów Kościuszki",50.226684,18.9918265
"Kochłowice Grzybowa",50.2438292,18.9036084
"Ligota Dworzec PKP",50.2260736,18.9766228
"Ligota Kolejowa",50.2272223,18.97853
"Ligota Kłodnicka",50.2277232,18.9796107
"Ligota Panewnicka",50.2256907,18.969914
"Siemianowice Szpital",50.3056092,19.0328123
"Dąbrowa Górnicza Szkoła Górnicza",50.318354,19.1855323
"Będzin 11 Listopada",50.3198205,19.1298871
"Będzin Czeladzka",50.325385,19.120656
"Będzin Stadion",50.3194379,19.1258323
"Będzin Stadion",50.319574,19.125979
"Będzin Stadion",50.3196954,19.1246404
"Będzin Zamek",50.3250276,19.1277491
"Sielec Osiedle Zamkowa",50.2863354,19.1492031
"Sielec Wawel Kościół",50.2787761,19.1458922
"Sielec Wawel Kościół",50.2788545,19.1459465
"Józefów Jaworowa",50.3150611,19.1796785
"Będzin Krasickiego",50.3141888,19.1290011
"Będzin Krasickiego",50.3146202,19.1275776
"Będzin Krasickiego",50.3146632,19.1278776
"Będzin Małachowskiego",50.3255321,19.1345616
"Będzin Urząd Miasta",50.322728,19.1281283
"Będzin Sienkiewicza",50.3196639,19.1366163
"Osiedle Syberka Kościół",50.3192733,19.1142094
"Osiedle Syberka Kościół",50.3195681,19.1153501
"Osiedle Syberka Ośrodek Zdrowia",50.3231646,19.1178799
"Osiedle Syberka Ośrodek Zdrowia",50.323795,19.118293
"Osiedle Syberka Pawilony",50.3205127,19.1180408
"Osiedle Syberka Piłsudskiego",50.3155538,19.115753
"Osiedle Syberka Piłsudskiego",50.3158629,19.1167398
"Osiedle Syberka",50.3237075,19.1106683
"Będzin Cmentarz Komunalny",50.3047355,19.1376027
"Będzin Krasickiego",50.3145422,19.1277452
"Będzin Stadion",50.319573,19.124585
"Będzin Szybowa",50.3105528,19.132447
"Milowice Zakłady Mięsne",50.2892737,19.087908
"Modrzejów Pastewna",50.2408978,19.1478823
"Niwka Kościół",50.2389029,19.1570576
"Niwka Kościół",50.2393056,19.1582187
"Niwka Pawiak",50.2507882,19.164834
"Piaski Centrum Handlowe",50.3222759,19.1025767
"Sosnowiec Brynica",50.2743643,19.1146787
"Szopienice Morawa",50.2633006,19.1068526
"Zagórze Małe",50.2968199,19.1735741
"Zagórze Pętla",50.294822,19.179658
"Będzin Cmentarz Komunalny",50.3048033,19.1378244
"Będzin Cmentarz Komunalny",50.3048332,19.1375222
"Będzin Szybowa",50.3106822,19.1324368
"Będzin Szybowa",50.3104939,19.1323282
"Będzin Słowiańska",50.3083201,19.1371736
"Będzin Słowiańska",50.3084492,19.1374241
"Czeladź Stare Miasto",50.3192435,19.0704434
"Czeladź Stare Miasto",50.3194848,19.0702197
"Czeladź Cmentarz",50.3130696,19.0720675
"Czeladź Osiedle Słoneczne",50.3116605,19.0836297
"Czeladź Park",50.3126106,19.0703723
"Czeladź Reymonta",50.3081385,19.0725373
"Czeladź Staszica",50.3189942,19.0644384
"Dąbrowa Górnicza Huta Bankowa",50.3249965,19.174751
"Dąbrowa Górnicza Huta Bankowa",50.3251707,19.1746747
"Dąbrowa Górnicza Urząd Pracy",50.3239992,19.16758
